,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
theta,0.42990997275363585,0.07811082146022315,0.30452826934803234,0.5520236851604021,476.4227359683115,713.7705784437256,1.0090010284184578,0.0035621856284283808,0.0021948294532223352
k,99.34204379752312,22.826152780616333,71.67428383432296,141.64237997358302,403.7222839537132,503.1617195631235,1.0056267974843762,1.1566803372304992,1.1428405247898865
s,2.499713622354053,0.3458251992224355,1.9877211876120897,3.096109434576069,482.6602936858974,633.4387829493431,1.0053948168815696,0.01566857330608792,0.009187496297170495
phi,0.8816188427033641,0.009745760733703828,0.8651588608477849,0.8958826664531171,467.67559338596453,674.0118818570056,1.0130943274686157,0.00045816042542997086,0.0002590524660676823
gamma,2.2356408747041594,0.44558522554850394,1.6844209614018417,3.0190482306053665,403.8968206713675,583.4330042371781,1.0059640583932523,0.02203178051232522,0.020892683606474213
q_sd,0.24154909900831606,0.02628337240677613,0.20326211499594693,0.2869473892599318,478.829449226062,580.7194416834159,1.0025999933508074,0.0012169581046557975,0.0006957322170016613
lam_direct_traffic,0.7002282958379621,0.006777191605957513,0.6898212573275164,0.710903087281914,1877.180332672761,1028.008027648316,1.0025861547271857,0.0001565342313731485,0.0001931211543208891
lam_organic_search,1.2847311983549938,0.007909497442152816,1.2718807977853082,1.2975500580258947,1739.9853014722173,731.1156665765446,1.0076862031497062,0.00018914118093573478,0.0002915699352190695
lam_brand_recall,0.48017648641032545,0.007311930788854758,0.4682598001339541,0.4919722677225179,1684.387847434099,661.021460828434,1.0047397245813923,0.00017779628249332764,0.00023499769765090149
r_branded_search,0.5153173265899856,0.025067256273005684,0.4743862237161463,0.554701084990843,1316.6359187493779,871.8802990953837,0.9999313034179627,0.0006996050089861862,0.0006956761426652394
r_direct_traffic,0.7614268956663359,0.03386895791030817,0.7097192734628854,0.817324948070658,2280.034629176696,882.6149432315814,1.0121006684172416,0.0007234153609111461,0.0011629267825696908
r_organic_search,0.6585617954887237,0.032175049423402595,0.6070693805788043,0.7092157078689486,1244.376949353762,1050.7713669241764,1.0021404399786078,0.0009107758131892937,0.0008252163068131073
r_brand_recall,0.8798308929943995,0.034984688184861695,0.8248805807765447,0.935524150046596,2627.6436358252554,810.7111717972741,1.0152460463988684,0.0006938194807778752,0.001273943357383621
